Rk,Player,Nation,Pos,Squad,90s,GA,PKA,FK,CK,OG,oTxG,oTxG/SoT,oTxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Att,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Enrico Alfonso\Enrico-Alfonso,it ITA,GK,Brescia,3.0,4,0,0,0,0,2.2,0.20,-1.8,-0.60,11,31,35.5,50,8,44.0,36.5,24,37.5,32.8,20,1,5.0,4,1.33,16.3,Matches
2,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,19.0,28,0,0,6,1,23.8,0.27,-3.2,-0.17,99,309,32.0,397,72,50.9,42.1,156,68.6,49.0,169,15,8.9,13,0.68,14.4,Matches
3,Etrit Berisha\Etrit-Berisha,al ALB,GK,SPAL,19.0,26,4,1,1,1,29.8,0.30,+1.8,+0.09,152,332,45.8,493,104,44.4,37.2,170,66.5,49.4,149,14,9.4,10,0.53,13.3,Matches
4,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,7.0,7,0,0,2,0,5.1,0.23,-1.9,-0.27,18,29,62.1,123,26,16.3,25.6,42,21.4,24.1,41,0,0.0,5,0.71,16.2,Matches
5,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,14.0,28,4,1,4,1,25.3,0.37,-1.7,-0.12,53,145,36.6,351,72,34.5,32.7,86,27.9,28.2,90,8,8.9,7,0.50,14.3,Matches
6,Antonio Donnarumma\Antonio-Donnarumma,it ITA,GK,Milan,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,18.0,23,2,0,3,1,21.7,0.32,-0.3,-0.02,107,247,43.3,430,92,39.5,35.2,139,55.4,41.2,106,11,10.4,16,0.89,16.2,Matches
8,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,19.0,29,1,2,4,0,22.2,0.30,-6.8,-0.36,85,231,36.8,415,105,41.2,37.0,133,45.1,40.2,120,9,7.5,10,0.53,12.8,Matches
9,Gabriel\Gabriel,br BRA,GK,Lecce,19.0,38,6,0,5,0,42.4,0.39,+4.4,+0.23,93,217,42.9,360,108,39.2,36.2,198,38.4,34.0,170,11,6.5,6,0.32,13.1,Matches
10,Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,Atalanta,17.0,25,3,0,2,2,21.3,0.37,-1.7,-0.10,91,213,42.7,400,89,33.5,35.8,118,66.9,52.4,92,8,8.7,16,0.94,15.1,Matches
11,Samir Handanović\Samir-Handanovic,si SVN,GK,Inter,19.0,16,1,0,1,1,16.9,0.25,+1.9,+0.10,82,168,48.8,430,122,26.3,30.0,150,36.7,33.8,155,10,6.5,2,0.11,11.3,Matches
12,Jesse Joronen\Jesse-Joronen,fi FIN,GK,Brescia,16.0,32,4,0,7,2,28.1,0.33,-1.9,-0.12,79,238,33.2,324,89,51.9,42.6,148,47.3,41.9,137,9,6.6,4,0.25,13.1,Matches
13,Pau López\Pau-Lopez,es ESP,GK,Roma,18.0,21,6,1,0,0,23.1,0.34,+2.1,+0.12,112,239,46.9,504,108,36.1,34.7,130,43.8,38.5,96,4,4.2,14,0.78,15.1,Matches
14,Federico Marchetti\Federico-Marchetti,it ITA,GK,Genoa,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
15,Alex Meret\Alex-Meret,it ITA,GK,Napoli,13.0,20,2,0,2,1,16.7,0.33,-2.3,-0.17,33,88,37.5,256,58,26.6,29.0,94,21.3,26.8,64,5,7.8,3,0.23,11.7,Matches
16,Antonio Mirante\Antonio-Mirante,it ITA,GK,Roma,1.0,0,0,0,0,0,1.0,0.50,+1.0,+1.00,9,17,52.9,39,8,41.0,36.1,8,12.5,25.0,12,0,0.0,0,0.00,11.3,Matches
17,Juan Musso\Juan-Musso,ar ARG,GK,Udinese,19.0,28,6,1,4,0,28.5,0.35,+0.5,+0.03,116,275,42.2,391,68,47.1,37.7,189,48.1,39.2,128,17,13.3,8,0.42,13.5,Matches
18,Robin Olsen\Robin-Olsen,se SWE,GK,Cagliari,13.9,18,4,0,1,2,19.2,0.30,+3.2,+0.23,88,230,38.3,274,50,54.7,45.0,140,57.1,47.8,127,9,7.1,3,0.22,10.8,Matches
19,David Ospina\David-Ospina,co COL,GK,Napoli,6.0,6,1,0,1,0,4.9,0.26,-1.1,-0.19,25,42,59.5,127,21,24.4,29.7,32,34.4,28.3,28,3,10.7,4,0.67,12.8,Matches
20,Gianluca Pegolo\Gianluca-Pegolo,it ITA,GK,Sassuolo,3.0,2,0,0,0,1,5.0,0.26,+4.0,+1.32,8,20,40.0,68,16,22.1,26.4,23,21.7,21.4,18,1,5.6,0,0.00,12.0,Matches
21,Mattia Perin\Mattia-Perin,it ITA,GK,Genoa,2.0,3,1,0,0,0,3.7,0.50,+0.7,+0.36,15,44,34.1,44,6,79.5,53.8,20,45.0,39.4,11,0,0.0,0,0.00,10.4,Matches
22,Ionuț Radu\Ionut-Radu,ro ROU,GK,Genoa,17.0,35,6,2,4,1,26.9,0.31,-7.1,-0.42,89,206,43.2,506,85,35.0,34.2,153,19.0,27.9,120,6,5.0,4,0.24,11.5,Matches
23,Rafael\Rafael,br BRA,GK,Cagliari,5.0,11,2,0,0,0,6.1,0.41,-4.9,-0.97,35,79,44.3,106,16,58.5,41.8,47,36.2,35.8,53,5,9.4,2,0.40,12.0,Matches
24,Pepe Reina\Pepe-Reina,es ESP,GK,Milan,1.0,1,0,1,0,0,2.0,0.40,+1.0,+1.02,11,21,52.4,30,6,53.3,39.7,7,71.4,50.7,10,2,20.0,2,2.00,19.6,Matches
25,Luigi Sepe\Luigi-Sepe,it ITA,GK,Parma,19.0,25,1,0,5,0,27.0,0.26,+2.0,+0.11,163,333,48.9,393,62,60.6,45.4,193,49.2,36.6,166,8,4.8,4,0.21,13.7,Matches
26,Marco Silvestri\Marco-Silvestri,it ITA,GK,Hellas Verona,18.0,21,5,0,3,0,22.0,0.30,+1.0,+0.06,101,399,25.3,369,32,67.5,48.9,173,86.7,59.9,126,7,5.6,5,0.28,12.3,Matches
