Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
1,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,11,9,875,10,1.03,28,17,.643,9,0,0,2,22.2,0,0,0,0,Matches
2,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,29,29,2543,23,0.81,79,58,.722,23,3,3,13,44.8,1,1,0,0,Matches
3,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,33,33,2970,47,1.42,99,55,.545,18,4,11,8,24.2,2,2,0,0,Matches
4,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,4,3,347,7,1.82,15,8,.533,2,0,1,1,33.3,0,0,0,0,Matches
5,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,5,5,450,7,1.40,16,10,.563,2,2,1,1,20.0,0,0,0,0,Matches
6,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,38,38,3420,58,1.53,190,134,.705,11,11,16,11,28.9,2,2,0,0,Matches
7,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,35,35,3071,28,0.82,92,65,.728,24,3,8,16,45.7,3,3,0,0,Matches
8,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,25,25,2117,34,1.45,98,69,.684,8,7,10,5,20.0,4,3,1,0,Matches
9,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,1,1,21,1,4.29,1,1,1.000,0,0,1,0,0.0,1,1,0,0,Matches
10,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,38,38,3420,64,1.68,166,109,.663,8,10,20,9,23.7,9,8,1,0,Matches
11,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,18,17,1613,26,1.45,79,56,.709,5,5,7,2,11.8,4,3,1,0,Matches
12,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,38,38,3420,36,0.95,125,92,.736,18,12,8,13,34.2,3,3,0,0,Matches
13,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,35,35,3150,42,1.20,147,106,.714,11,9,15,10,28.6,1,0,0,1,Matches
14,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10,10,900,25,2.50,53,30,.566,2,2,6,2,20.0,2,2,0,0,Matches
15,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,20,20,1794,35,1.76,99,67,.677,6,3,11,4,20.0,3,3,0,0,Matches
16,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,36,36,3240,33,0.92,129,97,.752,14,11,11,13,36.1,3,1,1,1,Matches
17,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,3,3,270,8,2.67,22,14,.636,0,1,2,0,0.0,0,0,0,0,Matches
