Rk,Player,Nation,Pos,Squad,90s,GA,PKA,FK,CK,OG,oTxG,oTxG/SoT,oTxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Att,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,0.3,0,0,0,0,0,0.1,0.12,+0.1,+0.45,1,3,33.3,5,1,40.0,44.0,1,100.0,67.0,0,0,,1,3.75,14.7,Matches
2,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,2.0,1,0,0,0,0,0.7,0.17,-0.3,-0.16,8,22,36.4,34,5,32.4,35.6,19,57.9,43.0,17,2,11.8,0,0.00,16.5,Matches
3,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,7.0,9,0,0,0,1,7.0,0.22,-1.0,-0.14,57,112,50.9,201,36,29.9,32.8,73,71.2,48.1,37,5,13.5,5,0.71,14.5,Matches
4,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Real Madrid,3.0,3,2,0,1,0,3.4,0.68,+0.4,+0.14,13,28,46.4,77,16,20.8,29.1,19,63.2,45.9,25,0,0.0,5,1.67,14.2,Matches
5,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,16.0,18,2,0,3,0,16.2,0.26,-1.8,-0.11,82,208,39.4,337,69,37.4,36.0,143,57.3,45.3,109,8,7.3,6,0.38,13.5,Matches
6,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,17.0,28,2,3,2,0,22.2,0.32,-5.8,-0.34,113,295,38.3,378,73,51.3,41.2,151,66.9,52.5,99,7,7.1,6,0.35,13.8,Matches
7,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,13.3,17,4,1,1,0,16.8,0.32,-0.2,-0.01,71,213,33.3,288,71,46.5,38.2,111,71.2,57.0,111,7,6.3,7,0.53,12.8,Matches
8,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,16.0,9,0,0,1,0,12.6,0.32,+3.6,+0.22,42,147,28.6,380,94,27.4,33.3,110,39.1,40.5,107,6,5.6,13,0.81,15.3,Matches
9,Iván Cuéllar\Ivan-Cuellar,es ESP,GK,Leganés,12.0,16,0,0,5,0,15.8,0.34,-0.2,-0.02,104,290,35.9,273,44,71.8,53.0,102,92.2,66.9,87,5,5.7,15,1.25,17.6,Matches
10,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,19.0,29,2,0,2,1,22.0,0.48,-6.0,-0.31,155,453,34.2,447,51,72.3,57.1,135,96.3,76.7,92,8,8.7,33,1.74,18.5,Matches
