Rk,Player,Nation,Pos,Squad,90s,GA,PKA,FK,CK,OG,oTxG,oTxG/SoT,oTxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Att,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,5.5,8,0,0,1,1,6.0,0.26,-1.0,-0.18,34,79,43.0,138,30,34.8,34.3,49,63.3,49.2,33,3,9.1,3,0.55,12.8,Matches
2,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,3.0,2,0,0,0,0,1.2,0.30,-0.8,-0.27,3,4,75.0,48,9,4.2,20.0,10,20.0,24.5,10,0,0.0,6,2.00,23.8,Matches
3,Stefan Bajic\Stefan-Bajic,fr FRA,GK,Saint-Étienne,1.0,1,0,0,0,0,0.4,0.19,-0.6,-0.62,3,3,100.0,11,4,0.0,21.1,8,37.5,34.8,5,0,0.0,2,2.00,20.4,Matches
4,Diego Benaglio\Diego-Benaglio,ch SUI,GK,Monaco,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
5,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,18.0,26,4,0,5,1,30.1,0.33,+5.1,+0.28,64,146,43.8,407,95,21.6,27.3,146,39.7,36.8,131,8,6.1,6,0.33,14.4,Matches
6,Paul Bernardoni\Paul-Bernardoni,fr FRA,GK,Nîmes,15.5,26,3,0,1,1,21.7,0.34,-3.3,-0.21,89,257,34.6,329,42,53.8,43.5,103,77.7,55.1,61,5,8.2,9,0.58,15.0,Matches
7,Dimitry Bertaud\Dimitry-Bertaud,fr FRA,GK,Montpellier,1.0,1,0,0,0,0,1.3,0.44,+0.3,+0.33,5,8,62.5,16,3,37.5,31.7,5,40.0,43.4,2,0,0.0,1,1.00,20.7,Matches
8,Ludovic Butelle\Ludovic-Butelle,fr FRA,GK,Angers,20.0,25,2,1,0,0,19.7,0.36,-5.3,-0.27,113,285,39.6,386,97,45.1,39.2,147,75.5,53.9,99,5,5.1,17,0.85,14.7,Matches
9,Marcin Bułka\Marcin-Bulka,pl POL,GK,Paris S-G,1.0,0,0,0,0,0,0.2,0.10,+0.2,+0.19,0,0,,12,3,0.0,18.6,6,0.0,23.5,4,0,0.0,0,0.00,6.5,Matches
10,Yannis Clementia\Yannis-Clementia,fr FRA,GK,Nice,2.0,2,1,0,0,0,1.7,0.29,-0.3,-0.14,3,23,13.0,47,16,29.8,33.3,14,64.3,50.6,21,0,0.0,0,0.00,10.8,Matches
