Rk,Player,Nation,Pos,Squad,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
1,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,6,5,495,8,1.45,24,16,.667,0,0,5,0,0.0,0,0,0,0,Matches
2,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,3,3,270,2,0.67,4,2,.500,2,0,1,2,66.7,0,0,0,0,Matches
3,Stefan Bajic\Stefan-Bajic,fr FRA,GK,Saint-Étienne,1,1,90,1,1.00,2,1,.500,0,0,1,0,0.0,0,0,0,0,Matches
4,Diego Benaglio\Diego-Benaglio,ch SUI,GK,Monaco,1,0,,0,,,,,0,0,0,0,,0,0,0,0,Matches
5,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,18,18,1620,26,1.44,92,71,.717,6,4,8,3,16.7,5,4,0,1,Matches
6,Paul Bernardoni\Paul-Bernardoni,fr FRA,GK,Nîmes,16,16,1394,26,1.68,69,47,.623,3,4,9,4,25.0,3,3,0,0,Matches
7,Dimitry Bertaud\Dimitry-Bertaud,fr FRA,GK,Montpellier,1,1,90,1,1.00,3,2,.667,0,0,1,0,0.0,0,0,0,0,Matches
8,Ludovic Butelle\Ludovic-Butelle,fr FRA,GK,Angers,20,20,1800,25,1.25,61,38,.590,8,5,7,8,40.0,2,2,0,0,Matches
9,Marcin Bułka\Marcin-Bulka,pl POL,GK,Paris S-G,1,1,90,0,0.00,2,2,1.000,1,0,0,1,100.0,0,0,0,0,Matches
10,Yannis Clementia\Yannis-Clementia,fr FRA,GK,Nice,2,2,180,2,1.00,6,5,.667,2,0,0,0,0.0,1,1,0,0,Matches
11,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,20,20,1800,24,1.20,75,53,.680,7,5,8,4,20.0,2,2,0,0,Matches
12,Paul Delecroix\Paul-Delecroix,fr FRA,GK,Metz,2,1,135,4,2.67,5,2,.200,0,0,1,0,0.0,1,1,0,0,Matches
13,Lucas Dias\Lucas-Dias,fr FRA,GK,Nîmes,4,3,316,6,1.71,18,12,.667,0,2,1,1,33.3,0,0,0,0,Matches
14,Alfred Gomis\Alfred-Gomis,sn SEN,GK,Dijon,15,15,1305,14,0.97,68,55,.794,5,6,4,5,33.3,1,1,0,0,Matches
15,Régis Gurtner\Regis-Gurtner,fr FRA,GK,Amiens,19,19,1710,38,2.00,102,66,.627,4,5,10,2,10.5,1,1,0,0,Matches
16,Alban Lafont\Alban-Lafont,fr FRA,GK,Nantes,20,20,1800,18,0.90,62,47,.710,10,2,8,9,45.0,5,3,1,1,Matches
17,Gautier Larsonneur\Gautier-Larsonneur,fr FRA,GK,Brest,19,19,1678,23,1.23,99,75,.768,5,7,7,6,31.6,3,1,1,1,Matches
18,Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,Monaco,19,19,1710,29,1.53,82,59,.646,8,5,6,5,26.3,5,5,0,0,Matches
19,Donovan Léon\Donovan-Leon,gf GUF,GK,Brest,2,1,122,3,2.21,10,8,.700,1,0,0,1,100.0,1,1,0,0,Matches
20,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,20,20,1800,19,0.95,72,56,.736,8,5,7,5,25.0,3,2,0,1,Matches
21,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,20,20,1800,22,1.10,61,44,.639,9,4,7,7,35.0,4,3,0,1,Matches
22,Steve Mandanda\Steve-Mandanda,fr FRA,GK,Marseille,19,19,1651,19,1.04,65,51,.708,11,5,3,7,36.8,3,3,0,0,Matches
23,Edouard Mendy\Edouard-Mendy,sn SEN,GK,Rennes,15,15,1350,13,0.87,51,40,.745,8,3,4,5,33.3,3,2,1,0,Matches
24,Jessy Moulin\Jessy-Moulin,fr FRA,GK,Saint-Étienne,2,2,180,0,0.00,10,10,1.000,2,0,0,2,100.0,0,0,0,0,Matches
25,Keylor Navas\Keylor-Navas,cr CRC,GK,Paris S-G,14,14,1260,10,0.71,42,31,.762,11,1,2,8,57.1,0,0,0,0,Matches
26,Alexandre Oukidja\Alexandre-Oukidja,dz ALG,GK,Metz,19,19,1665,24,1.30,80,58,.700,4,8,7,5,26.3,2,2,0,0,Matches
27,Yohann Pelé\Yohann-Pele,fr FRA,GK,Marseille,2,1,149,2,1.21,6,4,.667,1,0,0,0,0.0,1,0,1,0,Matches
28,Gaëtan Poussin\Gaetan-Poussin,fr FRA,GK,Bordeaux,1,0,,0,,,,,0,0,0,0,,0,0,0,0,Matches
29,Predrag Rajković\Predrag-Rajkovic,rs SRB,GK,Reims,19,19,1710,12,0.63,55,42,.782,7,7,5,10,52.6,2,0,1,1,Matches
30,Baptiste Reynet\Baptiste-Reynet,fr FRA,GK,Toulouse,20,20,1800,44,2.20,101,62,.564,3,3,14,2,10.0,5,3,2,0,Matches
31,Sergio Rico\Sergio-Rico,es ESP,GK,Paris S-G,1,1,90,1,1.00,5,4,.800,1,0,0,0,0.0,0,0,0,0,Matches
32,Stéphane Ruffier\Stephane-Ruffier,fr FRA,GK,Saint-Étienne,17,17,1530,30,1.76,76,48,.605,5,4,8,3,17.6,4,3,0,1,Matches
33,Gerónimo Rulli\Geronimo-Rulli,ar ARG,GK,Montpellier,19,19,1710,19,1.00,76,59,.750,8,6,5,6,31.6,2,1,0,1,Matches
34,Romain Salin\Romain-Salin,fr FRA,GK,Rennes,4,4,360,5,1.25,18,13,.722,2,0,2,1,25.0,1,0,1,0,Matches
35,Matz Sels\Matz-Sels,be BEL,GK,Strasbourg,20,20,1800,25,1.25,78,56,.679,8,3,9,5,25.0,5,4,1,0,Matches
36,Danijel Subašić\Danijel-Subasic,hr CRO,GK,Monaco,1,0,,0,,,,,0,0,0,0,,0,0,0,0,Matches
